releve_num,Tmx,Tmy,SMCF_area_p,con_len,tri_mean_p,veg_di,near_dist,edge_len,specialist_richness,richness,buffer
16592,279943,2714925,0.99013992,4712.030836,188.211684,0.782648615,319.1886971,763.4125061,7,31,750
16830,262119,2712625,0.97745897,4159.587585,276.2425768,0.657346594,655.4339056,627.0310059,2,26,750
17182,259161,2660222,0.523369193,1249.453079,329.7553571,0.397676251,277.8758776,3501.164047,1,24,750
17357,246599,2637341,0.924918944,3683.968018,417.4427407,0.357665567,529.3501572,2042.77002,8,29,750
17374,229717,2616182,0.851280253,4284.626923,288.6676692,0.659276705,14.98080103,3777.256468,8,23,750
16875,267972,2717296,0.868301159,3626.662521,319.6179724,1.432609948,317.1634589,3036.76745,3,26,750
17277,262843,2663320,0.877096774,4350.631836,330.136293,0.248052188,164.8168302,4203.615051,3,20,750
17676,222741,2586681,0.503131647,1491.776276,281.7548941,0.342445245,126.9057793,4608.913475,3,21,750
17186,261377,2661171,0.620838356,2688.176025,332.2848503,0.015469795,113.7471362,4930.220032,1,19,750
17365,268297,2654723,0.942198855,4295.820461,305.3118267,0.080624756,400.8338316,1712.551865,9,30,750
17184,259595,2660036,0.702879359,1640.240967,315.9671981,0.343040547,288.7015818,3450.772003,1,23,750
18078,224422,2490015,0.58544712,1956.275309,382.2773984,0.766390559,83.0284547,4839.632019,8,34,750
16522,289787,2735348,0.429301415,939.4431362,386.8452876,1.343209144,3.661018175,6395.931392,5,24,750
16872,268927,2717645,0.975488004,4439.518196,357.2714893,0.745529266,540.2260621,578.5421848,4,28,750
18321,244707,2511646,0.500409085,1044.948608,370.426403,0.848150846,110.3336125,5633.689758,1,13,750
18696,289856,2658159,0.589106697,1917.680151,380.0099711,0.783636254,227.6750538,3927.863784,4,28,750
19140,300542,2703979,0.830148944,3557.569847,291.6418205,0.741950241,386.5517257,4867.762586,4,25,750
18618,288661,2659061,0.581099287,3783.502294,447.4957864,1.26121061,10.66799889,6905.831119,0,23,750
18933,302133,2680393,0.475009766,1777.325603,365.9861061,0.8838806,188.0781569,3805.450564,2,24,750
18652,288590,2659314,0.67683303,4124.370209,417.3066198,1.298439627,21.96191206,6213.281744,0,27,750
19237,289892,2699679,0.940704638,3648.337834,311.0155404,0.657610881,522.5781545,2954.344834,6,34,750
19274,293272,2706649,0.334079806,549.0462036,351.9505122,0,176.835472,3931.77002,4,28,750
18057,219294,2503373,0.417055084,709.6223793,283.9771454,0,108.5250083,5416.922119,2,39,750
18960,309037,2670628,0.602497834,1806.174823,450.9175773,0,137.9508016,6394.188157,12,31,750
18275,248972,2525834,0.8685098,3515.522247,386.4280004,0.785532807,319.6386612,2209.150024,2,11,750
18847,291788,2674809,0.853947786,3815.510824,410.3864824,0.099466301,381.5760199,4465.377438,9,20,750
18881,302546,2670029,0.515275616,3152.758011,341.8586463,0.722138556,169.7161714,5446.150902,7,25,750
18952,306537,2667747,0.267880274,1293.029724,360.8372182,0.563328226,68.35591175,4748.490969,6,26,750
18692,290557,2657984,0.66124942,3024.04563,346.8810855,1.020407827,277.5390009,4717.242893,9,29,750
19640,249225,2526154,0.810849502,2129.934967,410.9327543,0.862830846,467.1472374,3910.682552,3,19,750
18863,307418,2672182,0.435357658,1364.658033,455.2982283,0.037937445,200.4647295,4471.338917,5,28,750
18957,310001,2669738,0.083557906,NA,460.7977239,0.622171479,130.5843619,3447.901247,8,24,750
18491,264707,2581753,0.883281739,3100.160513,335.6168599,0.647036707,517.2200341,1820.354915,3,19,750
18531,274869,2602468,0.844387091,3638.544556,276.7031068,0.528297895,45.27863374,5248.334778,1,15,750
17881,224188,2513043,0.243511809,1153.780899,301.8685741,0.60956092,13.14693476,3849.178894,5,38,750
18356,251179,2569093,0.717580621,2693.593063,325.251395,0.957935759,144.2828256,3243.607297,4,20,750
18950,306948,2667670,0.11380304,429.84375,362.8513118,0,20.73659794,2850.106844,2,22,750
18490,264431,2581976,0.713684211,3383.148207,333.7869149,1.013962453,243.9884496,4855.233217,1,18,750
18358,251506,2569703,1,4712.698177,321.1624722,0.457112058,817.5916946,0,7,26,750
18693,290256,2658301,0.77212467,2542.248222,360.8591495,1.027492865,353.0367779,4260.394322,7,28,750
18468,263247,2582658,0.738056162,3043.817859,434.5606956,0.689668545,230.9911314,1904.157604,7,25,750
16521,289478,2735464,0.316761766,579.4824829,374.2334944,1.143827528,5.79161829,6217.84838,2,24,750
18638,286324,2659524,0.662296789,2356.567159,421.4329421,0.643089168,261.3296909,3044.819977,5,33,750
18932,303062,2681470,1,4711.605713,369.6783599,0,776.245214,0,7,22,750
18607,290799,2657754,0.636363122,2553.351402,336.4091703,0.98487823,271.504046,5309.792992,1,19,750
18360,250883,2569985,0.907753943,3267.309166,366.4344809,0.701514895,364.0363459,2490.732403,7,29,750
18886,301816,2669458,0.95273491,4426.238297,359.269836,0.601509109,135.6264669,1773.353973,3,14,750
18467,263093,2584764,0.654186144,2041.42749,450.4491956,0.911061734,291.5975671,2345.533966,0,12,750
18492,264741,2582040,0.794939417,2676.046381,336.7674296,0.92755762,344.0258937,3078.388652,2,16,750
19750,281981,2627106,0.63479009,2312.67096,358.3498535,1.411769277,42.62074548,7337.683167,4,25,750
19271,294361,2703733,1,4711.756104,366.2843744,0.34056271,905.7440184,0,12,25,750
18523,274882,2604984,0.977694389,4649.040222,353.0465244,0.667543074,58.64529594,5668.697903,9,25,750
19213,285669,2698991,0.886100168,4302.196141,274.6851359,1.354583598,172.052917,4620.611893,3,34,750
18335,251568,2559765,0.995229796,4489.499065,408.256339,0.722291502,682.8375627,279.7940063,8,28,750
17618,274234,2642663,0.807490293,4060.936523,324.7953935,1.448532125,115.2508709,3902.639893,0,9,750
18876,291520,2677157,0.99449212,4711.816254,380.2809208,1.091088455,198.8354593,1014.553017,12,30,750
16848,280059,2731414,0.817322496,3192.878066,302.8415047,1.013261639,288.0636943,1876.225967,10,38,750
18494,266411,2583929,0.844897451,3617.280029,414.286911,0.587490467,417.309864,1330.01001,2,16,750
18361,250979,2570325,0.883382469,3475.44898,374.8445106,0.401790863,290.2002768,2289.167708,7,23,750
16862,257835,2721738,0.355696718,217.9678784,282.7288725,0.915819846,133.1972196,4654.318909,2,19,750
16861,257583,2722197,0.380884284,928.0435486,308.7166407,0.6729343,67.71093517,5123.771881,2,23,750
18740,292657,2676638,0.987229273,4336.012146,379.5509654,1.173272964,618.7149728,515.6488876,5,26,750
17537,266293,2651439,0.454972693,950.8713646,370.2863627,1.184475171,78.08297585,4351.478623,2,24,750
18475,262313,2585829,0.722658925,3046.086639,360.8337098,0.930111405,209.7589085,2574.165661,3,19,750
18465,262233,2585289,0.93114435,3388.446472,379.8302455,0.85860838,591.8957819,1715.641682,5,20,750
18080,224620,2490252,0.778730024,1842.885403,374.7449052,0.635593178,134.489136,4703.046963,10,21,750
18606,291004,2657417,0.587635927,860.4689942,344.6905957,1.07507584,315.8373654,5791.777275,0,11,750
18862,307035,2671782,0.808616639,2774.822685,477.453413,0.44802606,375.0717462,4287.596632,8,21,750
17911,224052,2505944,0.813610691,2011.773903,375.1217972,1.009503069,164.3274519,2069.493198,3,28,500
16679,279230,2715107,0.965417897,3010.069541,331.5523667,1.072230114,187.2678985,1068.583708,6,24,500
16523,290219,2735250,0.766901931,1869.002731,426.0051949,1.067495754,209.2607122,2377.851828,9,26,500
16590,279948,2714874,0.984903349,3024.891188,220.3585839,0.492703643,353.7375386,553.8856011,9,38,500
17908,223965,2506122,0.718781624,1699.704033,393.8836513,0.849201349,134.7398376,2251.009392,8,26,500
16662,279356,2714805,0.977810468,3141.293473,306.9059142,0.705977512,144.1857646,763.4117108,5,19,500
17376,229525,2616262,0.768344364,2712.954544,302.8847263,0.621595829,29.04949832,1531.825943,8,21,500
17874,225421,2511667,0.679946282,1589.616951,399.5790133,0.190867355,18.92734088,3316.289914,7,32,500
16866,268145,2716591,0.729200495,2630.528488,447.0392517,1.006350864,28.26777915,3192.923073,4,23,500
17830,241146,2575831,0.591137276,623.1553955,467.894496,0.610734371,146.0394303,2630.52002,4,20,500
18704,292832,2652502,0.723278612,1371.991582,314.9529269,0.280205749,249.1594065,2543.294418,10,31,500
18263,252884,2526780,0.424492301,686.7521973,345.2926507,0.69191728,175.2237397,3043.159912,5,20,500
18702,292932,2652396,0.611091084,1102.04464,317.6284079,0.439490318,158.3693902,2775.892601,10,29,500
17659,225034,2586544,0.935369101,2504.107056,354.0391141,0,297.2125837,1210.302002,6,18,500
17465,269781,2654839,0.827097478,1929.544984,376.8919093,0,303.204359,1323.506989,6,20,500
16473,286799,2718567,0.643103519,2007.158177,320.0194148,0.016367629,178.0613156,1517.799446,2,19,500
17909,224030,2506039,0.771065029,1883.459694,383.1892949,0.935114718,185.7558286,2097.724366,6,25,500
17991,222685,2501826,0.936650904,2509.00042,411.2673021,0.525894405,384.9828364,1682.699593,3,25,500
17441,235083,2597400,0.891749788,2383.192745,355.4244739,1.131224314,285.0832658,1966.323954,9,19,500
17523,269940,2652993,0.986746322,2937.404583,313.4756036,1.146311074,423.1819675,522.2333069,8,30,500
16664,279144,2714797,0.982361265,3090.663388,320.2171385,0.89275576,312.6381695,492.0686093,10,29,500
17411,239533,2602836,0.945406305,2602.983887,312.9741459,0.303178209,371.6334847,1023.169983,10,34,500
16883,256350,2709012,1,3141.624504,372.1317003,0.061610688,824.9954149,0,6,18,500
16879,255633,2708893,0.962407489,2824.039358,391.1430794,0.239178946,319.6821005,441.1553955,4,20,500
16878,256082,2708977,1,3141.628701,392.6138315,0,750.5386818,0,3,17,500
16874,269666,2718658,1,3141.426514,303.1963283,0.395395334,1420.960544,0,4,21,500
17439,234968,2597867,0.910087384,3141.995266,324.3091844,1.044019805,7.636060261,1791.428957,12,16,500
17402,234982,2598263,0.887872122,2297.546397,349.9086137,0.984882918,150.7318833,1904.804949,10,23,500
17433,235032,2598072,0.882898045,2660.302595,339.2344649,1.054133962,81.06769461,2284.305045,14,26,500
17666,230023,2596776,1,3142.080566,234.2279745,0.206132948,878.684322,0,6,29,500
16604,270862,2719970,1,3141.40936,278.613661,0.341820311,990.7942782,0,7,19,500
16873,268723,2719547,1,3141.439758,264.6269204,0.124524082,1301.251642,0,9,27,500
17586,226346,2604115,0.57026363,1807.729065,264.6247762,0.503761351,78.60936606,1483.745941,5,21,500
16605,271866,2720840,0.983686876,3141.39502,310.8746544,0,308.8095513,554.7670288,11,22,500
17468,268911,2654343,1,3141.450623,315.0254064,0.399182089,537.0635055,0,5,13,500
19345,294243,2732901,1,3141.098663,310.7745256,0.589192958,718.5442992,0,9,16,500
17610,240401,2618522,0.627944816,1772.522778,353.2213982,0.597603399,86.21496858,2796.331864,8,24,500
17760,229948,2541289,1,3142.095459,377.0049029,0.606508119,519.5188428,0,4,18,500
17563,271576,2657119,0.999350487,3102.307556,405.6135804,0.572109911,478.0597864,62.160101,6,26,500
16853,269438,2719846,1,3141.429596,325.0790629,0,1516.607106,0,6,20,500
16603,270676,2719920,1,3141.412109,276.1511422,0.222617028,1131.350137,0,6,12,500
18004,224207,2525020,0.852571095,2440.05957,405.3965185,0.541414328,171.3901622,1295.150024,17,34,500
17899,239219,2517466,0.997439746,3035.796631,207.9061889,0.693012856,463.1632694,126.1549988,6,18,500
17547,269336,2652938,0.916571258,2902.347523,291.0844497,1.414225958,243.163438,1536.636517,9,23,500
17841,235426,2530240,0.945548059,2711.730961,252.1153263,0,129.5598154,1308.074169,5,15,500
